Zone,Technology,Fuel,Capacity_MW
A,CombinedCycle,NaturalGas,440.4
A,CombustionTurbine,NaturalGas,47.3
A,SteamTurbine,NaturalGas,53.7
A,Battery,None,40.0
A,Hydro,None,2864.7
A,PumpedHydro,None,240.0
A,WindLand,None,447.9
B,CombinedCycle,NaturalGas,134.3
B,SteamTurbine,NaturalGas,117.0
B,Hydro,None,63.800000000000004
B,Nuclear,None,614.0
B,WindLand,None,6.6
C,CombinedCycle,NaturalGas,1593.3
C,SteamTurbine,FuelOil6,1803.6
C,SteamTurbine,NaturalGas,112.5
C,Battery,None,2.0
C,Hydro,None,108.4
C,Nuclear,None,2922.8
C,SolarUtility,None,40.0
C,WindLand,None,914.2
D,CombinedCycle,NaturalGas,387.70000000000005
D,Battery,None,20.0
D,Hydro,None,1146.8
D,WindLand,None,678.4
E,CombinedCycle,NaturalGas,236.0
E,Hydro,None,373.90000000000003
E,WindLand,None,817.2
F,CombinedCycle,NaturalGas,3648.0
F,Battery,None,40.0
F,Hydro,None,287.5
F,PumpedHydro,None,1160.0
F,SolarUtility,None,160.0
G,CombinedCycle,NaturalGas,1946.9
G,CombustionTurbine,NaturalGas,21.6
G,SteamTurbine,NaturalGas,3016.0
G,Battery,None,3.0
G,Hydro,None,78.9
J,CombinedCycle,NaturalGas,3739.2
J,CombustionTurbine,NaturalGas,1195.1
J,SteamTurbine,NaturalGas,4037.9
K,CombinedCycle,NaturalGas,806.6
K,CombustionTurbine,FuelOil2,526.9
K,CombustionTurbine,NaturalGas,702.0
K,SteamTurbine,NaturalGas,2300.0
K,SolarUtility,None,54.4
