Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Hydro_A,1,None,4.7,0.0,0.0,0.0,4.7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_B,2,None,63.8,0.0,0.0,0.0,63.8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_C,3,None,108.4,0.0,0.0,0.0,108.4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_D,4,None,58.8,0.0,0.0,0.0,58.8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_E,5,None,373.9,0.0,0.0,0.0,373.9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_F,6,None,287.5,0.0,0.0,0.0,287.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_G,7,None,78.9,0.0,0.0,0.0,78.9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PumpedHydro_A,1,None,240.0,0.0,0.0,0.0,240.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PumpedHydro_F,6,None,1160.0,0.0,0.0,0.0,1160.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_A_Existing,1,None,440.4,0.0,0.0,0.0,440.4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_A_New,1,None,0.0,0.0,0.0,814.2781926587671,814.2781926587671,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombustionTurbine_NaturalGas_A_Existing,1,None,47.3,0.0,0.0,0.0,47.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombustionTurbine_NaturalGas_A_New,1,None,0.0,0.0,0.0,236.5,236.5,401674.63293449447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InternalCombustion_MethaneBio_A_Existing,1,None,28.0,0.0,0.0,0.0,28.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_NaturalGas_A_Existing,1,None,53.7,0.0,0.0,0.0,53.7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_Refuse_A_Existing,1,None,50.0,0.0,0.0,0.0,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_B_Existing,2,None,134.3,0.0,0.0,0.0,134.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_B_New,2,None,0.0,0.0,0.0,671.5,671.5,307971.07385561167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InternalCombustion_MethaneBio_B_Existing,2,None,13.2,0.0,0.0,0.0,13.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_NaturalGas_B_Existing,2,None,117.0,117.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_C_Existing,3,None,1593.3,0.0,0.0,0.0,1593.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_C_New,3,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InternalCombustion_MethaneBio_C_Existing,3,None,42.9,0.0,0.0,0.0,42.9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_FuelOil6_C_Existing,3,None,1803.6,0.0,0.0,0.0,1803.6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_NaturalGas_C_Existing,3,None,112.5,0.0,0.0,0.0,112.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_D_Existing,4,None,387.7000000000001,0.0,0.0,0.0,387.7000000000001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_D_New,4,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InternalCombustion_MethaneBio_D_Existing,4,None,6.4,0.0,0.0,0.0,6.4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_E_Existing,5,None,236.0,0.0,0.0,0.0,236.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_E_New,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
