Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Hydro_NY,1,None,4923.999999999999,0.0,0.0,0.0,4923.999999999999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PumpedHydro_NY,1,None,1400.0,0.0,0.0,0.0,1400.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_NY_Existing,1,None,12932.4,0.0,0.0,0.0,12932.4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombinedCycle_NaturalGas_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombustionTurbine_NaturalGas_NY_Existing,1,None,1966.0,0.0,0.0,0.0,1966.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombustionTurbine_NaturalGas_NY_New,1,None,0.0,0.0,0.0,11312.585637579956,11312.585637579956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_NaturalGas_NY_Existing,1,None,9637.1,9637.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_NaturalGas_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_FuelOil6_NY_Existing,1,None,1803.6,1803.6,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SteamTurbine_FuelOil6_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombustionTurbine_FuelOil2_NY_Existing,1,None,526.9,0.0,0.0,0.0,526.9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CombustionTurbine_FuelOil2_NY_New,1,None,0.0,0.0,0.0,1469.0213049762306,1469.0213049762306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear_NY_Existing,1,None,3536.8,3536.8,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOffshore_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarUtility_NY_Existing,1,None,254.4,0.0,0.0,0.0,254.4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarUtility_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarBTM_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindLand_NY_Existing,1,None,2864.3,0.0,0.0,0.0,2864.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindLand_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_NY_Existing,1,None,105.0,0.0,0.0,0.0,105.0,-0.0,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
Battery_NY_New,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,39950.5,14977.5,0.0,12781.606942556187,37754.60694255619,n/a,420.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0
